record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
283,COK,Cook Islands,19000.0,2008,0.048,2.507,,,,,0.0
284,COK,Cook Islands,19000.0,2009,0.044,2.314,,-7.692,,,0.0
285,COK,Cook Islands,18000.0,2010,0.051,2.85,,16.667,,,0.0
286,COK,Cook Islands,18000.0,2011,0.059,3.257,,14.286,,,0.0
287,COK,Cook Islands,18000.0,2012,0.062,3.46,,6.25,,,0.0
288,CRI,Costa Rica,4405000.0,2007,7.961,1.807,0.168,13.642,13.035,2.959,0.025
289,CRI,Costa Rica,4463000.0,2008,7.991,1.791,0.159,0.374,13.339,2.989,0.025
290,CRI,Costa Rica,4521000.0,2009,7.749,1.714,0.14800000000000002,-3.031,11.354,2.511,0.025
291,CRI,Costa Rica,4577000.0,2010,7.494,1.6369999999999998,0.138,-3.293,12.374,2.704,0.023
292,CRI,Costa Rica,4633000.0,2011,7.309,1.578,0.129,-2.46,13.556,2.926,0.021
293,CRI,Costa Rica,4688000.0,2012,7.258999999999999,1.548,0.126,-0.69,13.942,2.974,0.021
294,CIV,Cote d'Ivoire,19171000.0,2007,,,,,,,
295,CIV,Cote d'Ivoire,19606000.0,2008,,,,,,,
296,CIV,Cote d'Ivoire,20059000.0,2009,,,,,,,
297,CIV,Cote d'Ivoire,20533000.0,2010,,,,,,,
298,CIV,Cote d'Ivoire,21029000.0,2011,,,,,,,
299,CIV,Cote d'Ivoire,21547000.0,2012,,,,,,,
300,HRV,Croatia,4362000.0,2007,24.844,5.6960000000000015,0.29,5.586,31.297,7.175,0.079
301,HRV,Croatia,4353000.0,2008,23.629,5.428,0.261,-4.891,30.879,7.0939999999999985,0.07400000000000001
302,HRV,Croatia,4341000.0,2009,21.838,5.0310000000000015,0.251,-7.579,26.71,6.153,0.069
303,HRV,Croatia,4328000.0,2010,21.051,4.864,0.251,-3.604,25.173,5.816,0.064
304,HRV,Croatia,4313000.0,2011,20.682,4.795,0.237,-1.75,27.387,6.35,0.06
305,HRV,Croatia,4296000.0,2012,19.115,4.449,0.212,-7.58,22.737,5.292000000000002,0.055
306,CUB,Cuba,11251000.0,2007,25.762,2.29,0.378,-2.145,,,0.08199999999999999
307,CUB,Cuba,11237000.0,2008,27.747,2.469,0.389,7.706,,,0.087
308,CUB,Cuba,11227000.0,2009,28.016,2.495,0.384,0.969,,,0.08900000000000001
309,CUB,Cuba,11226000.0,2010,33.915,3.0210000000000004,0.45,21.054,,,0.102
310,CUB,Cuba,11237000.0,2011,29.169,2.596,0.374,-13.992,,,0.085
311,CUB,Cuba,11257000.0,2012,29.522,2.623,0.3670000000000001,1.21,,,0.085
312,CYP,Cyprus,1064000.0,2007,8.539,8.025,0.35600000000000004,3.84,10.79,10.141,0.027000000000000003
313,CYP,Cyprus,1082000.0,2008,8.707,8.047,0.32299999999999995,1.971,12.243,11.315,0.027000000000000003
314,CYP,Cyprus,1098000.0,2009,8.454,7.699,0.29600000000000004,-2.911,13.087,11.919,0.027000000000000003
315,CYP,Cyprus,1113000.0,2010,8.089,7.268,0.281,-4.315,13.341,11.987,0.024
316,CYP,Cyprus,1125000.0,2011,7.758999999999999,6.897,0.285,-4.074,11.738,10.434,0.023
317,CYP,Cyprus,1135000.0,2012,7.235,6.374,0.262,-6.76,9.641,8.494,0.021
318,CZE,Czechia,10358000.0,2007,128.264,12.383,0.468,1.435,,,0.41
319,CZE,Czechia,10425000.0,2008,122.941,11.793,0.459,-4.15,,,0.385
320,CZE,Czechia,10488000.0,2009,115.194,10.983,0.428,-6.3020000000000005,,,0.366
321,CZE,Czechia,10537000.0,2010,117.501,11.151,0.438,2.003,,,0.355
322,CZE,Czechia,10567000.0,2011,115.06,10.889,0.411,-2.077,,,0.336
323,CZE,Czechia,10581000.0,2012,110.955,10.486,0.393,-3.568,,,0.319
324,COD,Democratic Republic of Congo,58454000.0,2007,1.696,0.029,0.045,9.202,,,0.005
325,COD,Democratic Republic of Congo,60411000.0,2008,1.811,0.03,0.045,6.7570000000000014,,,0.006
326,COD,Democratic Republic of Congo,62449000.0,2009,1.695,0.027000000000000003,0.041,-6.381,,,0.005
327,COD,Democratic Republic of Congo,64564000.0,2010,1.963,0.03,0.044,15.81,,,0.006
328,COD,Democratic Republic of Congo,66755000.0,2011,2.439,0.037000000000000005,0.05,24.214,,,0.006999999999999999
329,COD,Democratic Republic of Congo,69021000.0,2012,2.356,0.034,0.045,-3.398,,,0.006999999999999999
330,DNK,Denmark,5470000.0,2007,54.643,9.99,0.246,-8.035,69.527,12.711,0.175
331,DNK,Denmark,5498000.0,2008,51.223,9.317,0.225,-6.257999999999999,66.965,12.18,0.16
332,DNK,Denmark,5526000.0,2009,48.82100000000001,8.835,0.218,-4.69,61.842,11.191,0.155
333,DNK,Denmark,5555000.0,2010,49.152,8.847999999999997,0.208,0.679,62.423,11.237,0.14800000000000002
334,DNK,Denmark,5583000.0,2011,44.197,7.916,0.182,-10.081,60.874,10.903,0.129
335,DNK,Denmark,5611000.0,2012,39.824,7.097,0.163,-9.896,55.131,9.826,0.115
336,DJI,Djibouti,805000.0,2007,0.462,0.573,0.238,12.5,,,0.001
337,DJI,Djibouti,816000.0,2008,0.498,0.611,0.236,7.937,,,0.002
338,DJI,Djibouti,828000.0,2009,0.458,0.5529999999999999,0.235,-8.088,,,0.001
339,DJI,Djibouti,840000.0,2010,0.517,0.615,0.268,12.8,,,0.002
340,DJI,Djibouti,854000.0,2011,0.473,0.5529999999999999,0.241,-8.511000000000001,,,0.001
341,DJI,Djibouti,868000.0,2012,0.48,0.5529999999999999,0.229,1.55,,,0.001
342,DMA,Dominica,71000.0,2007,0.183,2.58,0.308,28.205,,,0.001
343,DMA,Dominica,71000.0,2008,0.165,2.322,0.244,-10.0,,,0.001
344,DMA,Dominica,71000.0,2009,0.161,2.271,0.261,-2.222,,,0.001
345,DMA,Dominica,71000.0,2010,0.172,2.425,0.248,6.818,,,0.001
346,DMA,Dominica,71000.0,2011,0.154,2.167,0.236,-10.638,,,0.0
347,DMA,Dominica,71000.0,2012,0.165,2.322,0.244,7.143,,,0.0
348,DOM,Dominican Republic,9339000.0,2007,19.95,2.136,0.208,4.525,23.914,2.5610000000000004,0.064
349,DOM,Dominican Republic,9458000.0,2008,20.269,2.143,0.207,1.597,25.4,2.6860000000000004,0.063
350,DOM,Dominican Republic,9577000.0,2009,19.814,2.069,0.191,-2.247,23.385,2.442,0.063
351,DOM,Dominican Republic,9695000.0,2010,20.574,2.122,0.182,3.84,24.596,2.537,0.062
352,DOM,Dominican Republic,9813000.0,2011,21.319000000000006,2.173,0.184,3.62,25.247,2.573,0.062
353,DOM,Dominican Republic,9931000.0,2012,21.494,2.164,0.179,0.818,26.485,2.667,0.062
354,,EU-27,,2007,3716.531,8.511000000000001,0.259,-1.025,,,11.876
355,,EU-27,,2008,3630.984,8.296,0.249,-2.302,,,11.366
356,,EU-27,,2009,3340.521,7.617000000000001,0.234,-8.0,,,10.617
357,,EU-27,,2010,3442.038,7.832999999999998,0.236,3.039,,,10.389
358,,EU-27,,2011,3336.5170000000007,7.58,0.224,-3.0660000000000003,,,9.753
359,,EU-27,,2012,3260.934,7.397,0.217,-2.265,,,9.381
360,,EU-28,,2007,4275.779,8.584,0.256,-1.082,,,13.663
361,,EU-28,,2008,4175.7959999999985,8.355,0.247,-2.338,,,13.071
362,,EU-28,,2009,3834.815,7.648,0.232,-8.166,,,12.188
363,,EU-28,,2010,3954.061,7.862999999999999,0.236,3.11,,,11.934
364,,EU-28,,2011,3806.321,7.548999999999999,0.222,-3.736,,,11.126
365,,EU-28,,2012,3748.73,7.417000000000002,0.21600000000000005,-1.513,,,10.785
366,ECU,Ecuador,14297000.0,2007,33.685,2.356,0.295,16.579,38.17,2.67,0.108
367,ECU,Ecuador,14536000.0,2008,29.573,2.0340000000000003,0.235,-12.207,34.931,2.403,0.093
368,ECU,Ecuador,14774000.0,2009,32.503,2.2,0.262,9.906,37.452,2.535,0.103
369,ECU,Ecuador,15011000.0,2010,34.825,2.32,0.258,7.146,42.24,2.814,0.105
370,ECU,Ecuador,15244000.0,2011,37.398,2.4530000000000003,0.249,7.387,44.856,2.943,0.109
371,ECU,Ecuador,15474000.0,2012,37.153,2.401,0.237,-0.6559999999999999,45.695,2.9530000000000003,0.107
372,EGY,Egypt,78232000.0,2007,185.905,2.376,0.337,5.6160000000000005,170.019,2.173,0.594
373,EGY,Egypt,79636000.0,2008,195.285,2.452,0.299,5.046,183.21400000000003,2.301,0.611
374,EGY,Egypt,81135000.0,2009,202.71,2.498,0.29600000000000004,3.802,197.646,2.436,0.644
375,EGY,Egypt,82761000.0,2010,198.808,2.402,0.249,-1.925,200.513,2.423,0.6
376,EGY,Egypt,84529000.0,2011,211.037,2.497,0.23,6.152,210.269,2.488,0.617
377,EGY,Egypt,86422000.0,2012,210.355,2.434,0.223,-0.32299999999999995,222.172,2.571,0.605
378,SLV,El Salvador,6106000.0,2007,6.846,1.121,0.159,1.92,9.444,1.547,0.022
379,SLV,El Salvador,6132000.0,2008,6.405,1.045,0.146,-6.44,9.346,1.524,0.02
380,SLV,El Salvador,6158000.0,2009,6.313,1.025,0.15,-1.442,8.182,1.329,0.02
381,SLV,El Salvador,6184000.0,2010,6.317,1.022,0.14400000000000002,0.07,8.448,1.366,0.019
382,SLV,El Salvador,6211000.0,2011,6.5,1.047,0.141,2.904,9.135,1.471,0.019
383,SLV,El Salvador,6238000.0,2012,6.4689999999999985,1.037,0.136,-0.483,8.754,1.403,0.019
384,GNQ,Equatorial Guinea,822000.0,2007,5.627999999999999,6.847,0.233,-19.158,,,0.018000000000000002
385,GNQ,Equatorial Guinea,861000.0,2008,7.017,8.149,0.244,24.674,,,0.022
386,GNQ,Equatorial Guinea,902000.0,2009,6.752999999999999,7.4860000000000015,0.229,-3.76,,,0.021
387,GNQ,Equatorial Guinea,944000.0,2010,6.8660000000000005,7.274,0.253,1.682,,,0.021
388,GNQ,Equatorial Guinea,987000.0,2011,8.882,8.999,0.303,29.349,,,0.026
389,GNQ,Equatorial Guinea,1031000.0,2012,7.537000000000001,7.31,0.266,-15.14,,,0.022
390,ERI,Eritrea,2997000.0,2007,0.5589999999999999,0.187,,2.6460000000000004,,,0.002
391,ERI,Eritrea,3063000.0,2008,0.405,0.132,,-27.532,,,0.001
392,ERI,Eritrea,3120000.0,2009,0.4970000000000001,0.159,,22.603,,,0.002
393,ERI,Eritrea,3170000.0,2010,0.4970000000000001,0.157,,0.005,,,0.002
394,ERI,Eritrea,3214000.0,2011,0.56,0.174,,12.711,,,0.002
395,ERI,Eritrea,3250000.0,2012,0.618,0.19,,10.4,,,0.002
396,EST,Estonia,1344000.0,2007,19.839,14.761,0.716,22.394,21.046,15.659,0.063
397,EST,Estonia,1340000.0,2008,17.668,13.185,0.647,-10.941,17.714000000000006,13.219,0.055
398,EST,Estonia,1336000.0,2009,14.339,10.733,0.5670000000000001,-18.842,14.945,11.187,0.046
399,EST,Estonia,1332000.0,2010,18.785,14.103,0.725,31.006,17.525,13.157,0.057
400,EST,Estonia,1328000.0,2011,18.855,14.198,0.6609999999999999,0.374,19.366,14.583,0.055
401,EST,Estonia,1323000.0,2012,17.685,13.367,0.5760000000000001,-6.206,18.279,13.816,0.051
402,SWZ,Eswatini,1043000.0,2007,1.052,,,3.61,,,0.003
403,SWZ,Eswatini,1050000.0,2008,1.033,,,-1.742,,,0.003
404,SWZ,Eswatini,1057000.0,2009,1.074,,,3.901,,,0.003
405,SWZ,Eswatini,1065000.0,2010,1.015,,,-5.461,,,0.003
406,SWZ,Eswatini,1072000.0,2011,1.026,,,1.083,,,0.003
407,SWZ,Eswatini,1079000.0,2012,1.1909999999999998,,,16.070999999999998,,,0.003
408,ETH,Ethiopia,80674000.0,2007,5.839,0.07200000000000001,0.077,9.825,8.498,0.105,0.019
409,ETH,Ethiopia,82916000.0,2008,6.416,0.077,0.07400000000000001,9.881,10.013,0.121,0.02
410,ETH,Ethiopia,85234000.0,2009,6.455,0.076,0.076,0.596,11.202,0.131,0.021
411,ETH,Ethiopia,87640000.0,2010,6.3370000000000015,0.07200000000000001,0.065,-1.821,9.867,0.113,0.019
412,ETH,Ethiopia,90140000.0,2011,7.402,0.08199999999999999,0.064,16.804000000000002,10.308,0.114,0.022
413,ETH,Ethiopia,92727000.0,2012,8.11,0.087,0.064,9.564,13.787,0.149,0.023
414,,Europe,731939008.0,2007,6471.928000000001,8.833,0.311,-0.74,,,20.681
415,,Europe,733416000.0,2008,6399.411999999998,8.717,0.299,-1.12,,,20.032
416,,Europe,734923008.0,2009,5888.331,8.004,0.285,-7.9860000000000015,,,18.714
417,,Europe,736412992.0,2010,6115.876,8.296,0.287,3.864,,,18.459
418,,Europe,737851008.0,2011,6035.187,8.171,0.272,-1.319,,,17.642
419,,Europe,739225024.0,2012,5981.732,8.083,0.265,-0.8859999999999999,,,17.209
420,,Europe (excl. EU-27),,2007,2764.0290000000005,9.269,0.428,-0.34,,,8.832
421,,Europe (excl. EU-27),,2008,2776.621,9.297,0.402,0.456,,,8.692
422,,Europe (excl. EU-27),,2009,2555.262,8.539,0.402,-7.972,,,8.121
423,,Europe (excl. EU-27),,2010,2682.387,8.945,0.397,4.975,,,8.096
424,,Europe (excl. EU-27),,2011,2706.475,9.006,0.369,0.898,,,7.911
425,,Europe (excl. EU-27),,2012,2728.313,9.058,0.36,0.807,,,7.849
426,,Europe (excl. EU-28),,2007,2204.781,9.313,0.535,-0.053,,,7.045
427,,Europe (excl. EU-28),,2008,2231.809,9.436,0.489,1.226,,,6.9860000000000015
428,,Europe (excl. EU-28),,2009,2060.968,8.717,0.499,-7.655,,,6.55
429,,Europe (excl. EU-28),,2010,2170.363,9.18,0.478,5.308,,,6.551
430,,Europe (excl. EU-28),,2011,2236.6710000000007,9.457,0.4370000000000001,3.055,,,6.5379999999999985
431,,Europe (excl. EU-28),,2012,2240.5170000000007,9.466,0.424,0.172,,,6.4460000000000015
432,FRO,Faeroe Islands,48000.0,2007,0.6890000000000001,14.351,,1.622,,,0.002
433,FRO,Faeroe Islands,48000.0,2008,0.63,13.129,,-8.511000000000001,,,0.002
434,FRO,Faeroe Islands,48000.0,2009,0.575,11.984000000000002,,-8.721,,,0.002
435,FRO,Faeroe Islands,48000.0,2010,0.63,13.129,,9.554,,,0.002
436,FRO,Faeroe Islands,48000.0,2011,0.568,11.832,,-9.884,,,0.002
437,FRO,Faeroe Islands,48000.0,2012,0.59,12.29,,3.871,,,0.002
438,FJI,Fiji,836000.0,2007,1.141,1.365,,-5.0139999999999985,,,0.004
439,FJI,Fiji,845000.0,2008,0.878,1.039,,-23.081,,,0.003
440,FJI,Fiji,854000.0,2009,0.779,0.912,,-11.300999999999998,,,0.002
441,FJI,Fiji,860000.0,2010,1.2009999999999998,1.3969999999999998,,54.291,,,0.004
442,FJI,Fiji,863000.0,2011,1.068,1.237,,-11.1,,,0.003
443,FJI,Fiji,865000.0,2012,1.041,1.204,,-2.512,,,0.003
444,FIN,Finland,5298000.0,2007,66.76,12.601,0.318,-2.375,93.823,17.709,0.213
445,FIN,Finland,5319000.0,2008,58.61,11.019,0.274,-12.209,85.272,16.032,0.183
446,FIN,Finland,5342000.0,2009,55.924,10.469,0.277,-4.582,72.186,13.513,0.17800000000000002
447,FIN,Finland,5366000.0,2010,64.09899999999999,11.945,0.314,14.618,83.056,15.478,0.193
448,FIN,Finland,5390000.0,2011,56.666,10.513,0.274,-11.597,75.816,14.066,0.166
449,FIN,Finland,5415000.0,2012,51.222,9.459,0.244,-9.606,72.314,13.354,0.147
450,FRA,France,61869000.0,2007,405.194,6.549,0.177,-2.5980000000000003,555.744,8.982999999999997,1.295
451,FRA,France,62209000.0,2008,397.725,6.393,0.173,-1.843,544.976,8.76,1.245
452,FRA,France,62543000.0,2009,381.599,6.101,0.16699999999999998,-4.055,511.905,8.185,1.213
453,FRA,France,62880000.0,2010,389.386,6.193,0.16699999999999998,2.041,515.696,8.201,1.175
454,FRA,France,63222000.0,2011,362.504,5.734,0.152,-6.904,535.055,8.463,1.06
455,FRA,France,63564000.0,2012,363.809,5.724,0.151,0.36,480.181,7.5539999999999985,1.047
456,PYF,French Polynesia,263000.0,2007,0.769,2.926,,-1.408,,,0.002
457,PYF,French Polynesia,264000.0,2008,0.795,3.012,,3.333,,,0.002
458,PYF,French Polynesia,265000.0,2009,0.799,3.014,,0.461,,,0.003
459,PYF,French Polynesia,266000.0,2010,0.8059999999999999,3.03,,0.917,,,0.002
460,PYF,French Polynesia,268000.0,2011,0.777,2.898,,-3.636,,,0.002
461,PYF,French Polynesia,269000.0,2012,0.755,2.806,,-2.83,,,0.002
462,GAB,Gabon,1473000.0,2007,4.089,2.776,0.17600000000000002,-1.281,,,0.013
463,GAB,Gabon,1519000.0,2008,4.162,2.74,0.152,1.778,,,0.013
464,GAB,Gabon,1569000.0,2009,4.2330000000000005,2.698,0.248,1.7009999999999998,,,0.013
465,GAB,Gabon,1624000.0,2010,4.782,2.945,0.27,12.981,,,0.014
466,GAB,Gabon,1685000.0,2011,4.931,2.926,0.191,3.109,,,0.014
467,GAB,Gabon,1750000.0,2012,5.033,2.8760000000000003,0.213,2.075,,,0.014
468,GMB,Gambia,1640000.0,2007,0.35200000000000004,0.214,0.115,,,,0.001
469,GMB,Gambia,1689000.0,2008,0.366,0.217,0.12,4.167,,,0.001
470,GMB,Gambia,1740000.0,2009,0.381,0.219,0.124,4.0,,,0.001
471,GMB,Gambia,1793000.0,2010,0.4320000000000001,0.241,0.133,13.462,,,0.001
472,GMB,Gambia,1848000.0,2011,0.447,0.242,0.149,3.39,,,0.001
473,GMB,Gambia,1905000.0,2012,0.454,0.238,0.139,1.639,,,0.001
474,GEO,Georgia,4167000.0,2007,6.365,1.527,0.189,4.407,9.561,2.295,0.02
475,GEO,Georgia,4143000.0,2008,5.308,1.281,0.14800000000000002,-16.6,9.137,2.205,0.017
476,GEO,Georgia,4119000.0,2009,6.135,1.489,0.161,15.573,7.689,1.867,0.019
477,GEO,Georgia,4099000.0,2010,6.209,1.515,0.153,1.209,8.192,1.998,0.019
478,GEO,Georgia,4081000.0,2011,7.8039999999999985,1.912,0.177,25.682,9.3,2.279,0.023
479,GEO,Georgia,4064000.0,2012,8.251,2.03,0.181,5.732,10.571,2.6010000000000004,0.024
480,DEU,Germany,81278000.0,2007,851.383,10.475,0.253,-3.031,1020.165,12.552,2.721
481,DEU,Germany,81066000.0,2008,854.706,10.543,0.252,0.39,1010.502,12.465,2.675
482,DEU,Germany,80900000.0,2009,790.196,9.768,0.245,-7.547999999999999,930.054,11.496,2.511
483,DEU,Germany,80827000.0,2010,832.67,10.302,0.247,5.375,976.39,12.08,2.513
484,DEU,Germany,80856000.0,2011,809.427,10.011,0.23,-2.7910000000000004,976.1,12.072,2.366
485,DEU,Germany,80973000.0,2012,813.893,10.051,0.231,0.552,920.509,11.368,2.341
486,GHA,Ghana,22964000.0,2007,9.619,0.419,0.181,5.0139999999999985,15.045,0.655,0.031
487,GHA,Ghana,23564000.0,2008,8.926,0.379,0.151,-7.209,14.972,0.635,0.028
488,GHA,Ghana,24171000.0,2009,7.497999999999998,0.31,0.129,-15.999,12.848,0.532,0.024
489,GHA,Ghana,24780000.0,2010,9.711,0.392,0.155,29.514,14.707,0.593,0.029
490,GHA,Ghana,25388000.0,2011,11.226,0.442,0.14300000000000002,15.607,18.269,0.72,0.033
491,GHA,Ghana,25996000.0,2012,14.316,0.551,0.159,27.526,22.338,0.8590000000000001,0.041
492,GRC,Greece,11120000.0,2007,114.592,10.305,0.368,1.885,98.643,8.871,0.366
493,GRC,Greece,11040000.0,2008,111.125,10.066,0.345,-3.026,99.537,9.016,0.348
494,GRC,Greece,10959000.0,2009,104.355,9.522,0.326,-6.093,111.105,10.138,0.332
495,GRC,Greece,10888000.0,2010,97.362,8.942,0.325,-6.7010000000000005,97.354,8.941,0.294
496,GRC,Greece,10829000.0,2011,94.55,8.731,0.35100000000000003,-2.888,86.57799999999997,7.995,0.276
497,GRC,Greece,10781000.0,2012,91.43,8.481,0.349,-3.299,80.57,7.473,0.263
498,GRL,Greenland,57000.0,2007,0.638,11.185,,1.754,,,0.002
499,GRL,Greenland,57000.0,2008,0.66,11.571,,3.448,,,0.002
500,GRL,Greenland,57000.0,2009,0.575,10.092,,-12.778,,,0.002
501,GRL,Greenland,57000.0,2010,0.6629999999999999,11.635,,15.287,,,0.002
502,GRL,Greenland,57000.0,2011,0.7070000000000001,12.406,,6.63,,,0.002
503,GRL,Greenland,56000.0,2012,0.568,10.141,,-19.689,,,0.002
504,GRD,Grenada,105000.0,2007,0.238,2.268,,3.175,,,0.001
505,GRD,Grenada,105000.0,2008,0.253,2.408,,6.154,,,0.001
506,GRD,Grenada,106000.0,2009,0.253,2.385,,,,,0.001
507,GRD,Grenada,106000.0,2010,0.26,2.454,,2.899,,,0.001
508,GRD,Grenada,107000.0,2011,0.253,2.363,,-2.817,,,0.001
509,GRD,Grenada,107000.0,2012,0.271,2.5340000000000003,,7.246,,,0.001
510,GTM,Guatemala,13700000.0,2007,12.145,0.8859999999999999,0.161,-0.253,16.613,1.213,0.039
511,GTM,Guatemala,14006000.0,2008,10.893,0.778,0.138,-10.305,15.991,1.142,0.034
512,GTM,Guatemala,14316000.0,2009,11.442,0.799,0.141,5.039,15.243,1.065,0.036000000000000004
513,GTM,Guatemala,14630000.0,2010,11.098,0.759,0.13,-3.009,15.78,1.079,0.033
514,GTM,Guatemala,14949000.0,2011,11.238,0.752,0.122,1.268,17.27,1.155,0.033
515,GTM,Guatemala,15271000.0,2012,11.559,0.757,0.123,2.849,17.827,1.167,0.033
516,GIN,Guinea,9518000.0,2007,1.968,0.207,0.188,4.07,1.968,0.207,0.006
517,GIN,Guinea,9739000.0,2008,1.997,0.205,0.175,1.49,1.997,0.205,0.006
518,GIN,Guinea,9964000.0,2009,2.11,0.212,0.201,5.688,2.11,0.212,0.006999999999999999
519,GIN,Guinea,10192000.0,2010,2.484,0.244,0.197,17.708,2.484,0.244,0.006999999999999999
520,GIN,Guinea,10420000.0,2011,2.594,0.249,0.182,4.425,2.594,0.249,0.008
521,GIN,Guinea,10652000.0,2012,2.422,0.227,0.158,-6.638,2.422,0.227,0.006999999999999999
522,GNB,Guinea-Bissau,1412000.0,2007,0.231,0.163,0.122,6.78,,,0.001
523,GNB,Guinea-Bissau,1447000.0,2008,0.227,0.157,0.119,-1.587,,,0.001
524,GNB,Guinea-Bissau,1484000.0,2009,0.234,0.158,0.122,3.2260000000000004,,,0.001
525,GNB,Guinea-Bissau,1523000.0,2010,0.238,0.156,0.115,1.5619999999999998,,,0.001
526,GNB,Guinea-Bissau,1563000.0,2011,0.245,0.157,0.109,3.077,,,0.001
527,GNB,Guinea-Bissau,1605000.0,2012,0.253,0.158,0.121,2.985,,,0.001
528,GUY,Guyana,746000.0,2007,1.781,2.387,,17.961,,,0.006
529,GUY,Guyana,747000.0,2008,1.707,2.286,,-4.115,,,0.005
530,GUY,Guyana,748000.0,2009,1.909,2.552,,11.803,,,0.006
531,GUY,Guyana,749000.0,2010,1.887,2.519,,-1.152,,,0.006
532,GUY,Guyana,752000.0,2011,1.96,2.607,,3.883,,,0.006
533,GUY,Guyana,755000.0,2012,1.96,2.596,,,,,0.006
534,HTI,Haiti,9495000.0,2007,2.361,0.249,0.14400000000000002,13.284,,,0.008
535,HTI,Haiti,9647000.0,2008,2.366,0.245,0.15,0.202,,,0.006999999999999999
536,HTI,Haiti,9798000.0,2009,2.237,0.228,0.138,-5.445,,,0.006999999999999999
537,HTI,Haiti,9949000.0,2010,2.093,0.21,0.133,-6.416,,,0.006
538,HTI,Haiti,10100000.0,2011,2.087,0.207,0.131,-0.326,,,0.006
539,HTI,Haiti,10251000.0,2012,2.19,0.214,0.14,4.971,,,0.006
540,HND,Honduras,7809000.0,2007,8.597999999999999,1.101,0.261,25.285,10.887,1.394,0.027000000000000003
541,HND,Honduras,7981000.0,2008,8.517999999999999,1.067,0.273,-0.938,10.813,1.355,0.027000000000000003
542,HND,Honduras,8151000.0,2009,8.073,0.99,0.255,-5.224,9.968,1.223,0.026
543,HND,Honduras,8317000.0,2010,7.959,0.957,0.238,-1.414,10.258,1.233,0.024
544,HND,Honduras,8481000.0,2011,8.635,1.018,0.24,8.494,10.229,1.206,0.025
545,HND,Honduras,8641000.0,2012,8.988999999999997,1.04,0.245,4.101,12.037,1.393,0.026
546,HKG,Hong Kong,6840000.0,2007,43.572,6.37,0.122,3.957,85.65,12.522,0.139
547,HKG,Hong Kong,6882000.0,2008,42.791,6.218,0.139,-1.794,93.607,13.602,0.134
548,HKG,Hong Kong,6925000.0,2009,41.58,6.004,0.142,-2.83,84.029,12.134,0.132
549,HKG,Hong Kong,6966000.0,2010,40.064,5.751,0.129,-3.646,90.136,12.939,0.121
550,HKG,Hong Kong,7007000.0,2011,43.15,6.158,0.139,7.702000000000001,80.77199999999998,11.527,0.126
551,HKG,Hong Kong,7047000.0,2012,42.743,6.065,0.136,-0.943,111.054,15.759,0.123
552,HUN,Hungary,10024000.0,2007,58.68899999999999,5.855,0.312,-2.047,81.295,8.11,0.188
553,HUN,Hungary,9992000.0,2008,57.53100000000001,5.757999999999999,0.295,-1.973,81.538,8.16,0.18
554,HUN,Hungary,9959000.0,2009,51.775,5.199,0.261,-10.005,67.727,6.801,0.165
555,HUN,Hungary,9927000.0,2010,52.124,5.251,0.256,0.674,69.42399999999999,6.9929999999999986,0.157
556,HUN,Hungary,9896000.0,2011,50.322,5.085,0.242,-3.4560000000000004,68.892,6.9620000000000015,0.147
557,HUN,Hungary,9864000.0,2012,46.777,4.742,0.225,-7.046,63.62,6.45,0.135
558,ISL,Iceland,305000.0,2007,3.512,11.515,0.311,10.988,,,0.011
559,ISL,Iceland,311000.0,2008,3.825,12.299,0.302,8.908,,,0.012
560,ISL,Iceland,316000.0,2009,3.74,11.836,0.301,-2.216,,,0.012
561,ISL,Iceland,320000.0,2010,3.66,11.438,0.315,-2.14,,,0.011
562,ISL,Iceland,323000.0,2011,3.511,10.869000000000002,0.3,-4.084,,,0.01
563,ISL,Iceland,326000.0,2012,3.503,10.745,0.289,-0.221,,,0.01
564,IND,India,1183208960.0,2007,1357.9160000000004,1.148,0.362,7.812,1348.295,1.14,4.339
565,IND,India,1200669952.0,2008,1462.5739999999996,1.218,0.341,7.707000000000002,1438.79,1.198,4.578
566,IND,India,1217725952.0,2009,1612.515,1.324,0.354,10.252,1538.629,1.264,5.125
567,IND,India,1234280960.0,2010,1678.479,1.36,0.328,4.091,1584.61,1.284,5.066
568,IND,India,1250288000.0,2011,1766.065,1.413,0.311,5.218,1649.319,1.319,5.162000000000001
569,IND,India,1265779968.0,2012,1941.313,1.534,0.324,9.923,1804.317,1.425,5.585
570,IDN,Indonesia,232374000.0,2007,376.865,1.622,0.336,8.781,360.888,1.5530000000000002,1.204
571,IDN,Indonesia,235470000.0,2008,417.562,1.773,0.307,10.799,408.996,1.737,1.307
572,IDN,Indonesia,238620992.0,2009,447.099,1.874,0.29600000000000004,7.074,441.035,1.848,1.421
573,IDN,Indonesia,241834000.0,2010,428.174,1.771,0.242,-4.2330000000000005,433.388,1.7919999999999998,1.2919999999999998
574,IDN,Indonesia,245116000.0,2011,508.073,2.073,0.236,18.66,507.17,2.069,1.485
575,IDN,Indonesia,248452000.0,2012,526.383,2.119,0.234,3.604,543.264,2.187,1.514
576,,International transport,,2007,1042.363,,,,,,
577,,International transport,,2008,1057.121,,,,,,
578,,International transport,,2009,1012.194,,,,,,
579,,International transport,,2010,1074.752,,,,,,
580,,International transport,,2011,1103.349,,,,,,
581,,International transport,,2012,1095.639,,,,,,
