record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
88,AND,Andorra,2008,84000,0.0,0.539,0.0,0.0,0.0,0.0,0.0,6.412000000000001,0.0,0.002,9.259,0.0,0.0,0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.0,0.0,6.412000000000001
89,AND,Andorra,2009,84000,0.0,0.517,-4.082,-0.022,0.0,0.0,0.0,6.15,0.0,0.002,9.776,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,6.15
90,AND,Andorra,2010,84000,0.0,0.517,0.0,0.0,0.0,0.0,0.0,6.15,0.0,0.002,10.292,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,6.15
91,AND,Andorra,2011,84000,0.0,0.491,-4.965,-0.026,0.0,0.0,0.0,5.845,0.0,0.001,10.783,0.0,0.0,0.0,0.0,0.0,0.0,0.491,0.0,0.0,0.0,0.0,0.0,5.845
92,AND,Andorra,2012,82000,0.0,0.487,-0.746,-0.004,0.0,0.0,0.0,5.943,0.0,0.001,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.0,0.0,0.0,0.0,0.0,5.943
107,AGO,Angola,2007,20905000,72748662784.0,24.976,13.002,2.874,0.0,0.0,0.0,1.195,0.0,0.08,306.183,0.343,0.0,0.541,0.0,14.04,1.594,8.801,0.0,0.026,0.0,0.672,0.076,0.421
108,AGO,Angola,2008,21696000,88982708224.0,25.486,2.042,0.51,0.0,0.0,0.0,1.175,0.0,0.08,331.6690000000001,0.28600000000000003,0.0,0.684,0.0,13.311,1.271,10.219,0.0,0.032,0.0,0.614,0.059,0.471
109,AGO,Angola,2009,22514000,75516665856.0,27.566,8.158999999999999,2.079,0.0,0.0,0.0,1.224,0.0,0.08800000000000001,359.235,0.365,0.0,0.6940000000000001,0.0,13.286,1.29,12.296,0.0,0.031,0.0,0.59,0.057,0.546
110,AGO,Angola,2010,23356000,95524052992.0,28.864,4.712,1.2990000000000002,0.0,0.0,0.0,1.236,0.0,0.087,388.099,0.302,0.0,0.578,0.0,13.546,1.37,13.37,0.0,0.025,0.0,0.58,0.059,0.5720000000000001
111,AGO,Angola,2011,24221000,123000000000.0,30.33,5.0760000000000005,1.465,0.0,0.0,0.0,1.252,0.0,0.08900000000000001,418.429,0.247,0.0,0.765,0.0,13.817,1.403,14.345,0.0,0.032,0.0,0.57,0.058,0.5920000000000001
112,AGO,Angola,2012,25108000,128000000000.0,33.801,11.444,3.471,0.0,0.0,0.0,1.346,0.0,0.097,452.23,0.264,0.0,1.147,0.0,13.964,1.422,17.268,0.0,0.046,0.0,0.556,0.057,0.688
127,AIA,Anguilla,2007,13000,0.0,0.15,5.127999999999999,0.006999999999999999,0.0,0.0,0.0,11.556,0.0,0.0,1.5759999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,11.556
128,AIA,Anguilla,2008,13000,0.0,0.15,0.0,0.0,0.0,0.0,0.0,11.556,0.0,0.0,1.726,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,11.556
129,AIA,Anguilla,2009,13000,0.0,0.147,-2.439,-0.004,0.0,0.0,0.0,11.274,0.0,0.0,1.872,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,11.274
130,AIA,Anguilla,2010,13000,0.0,0.15,2.5,0.004,0.0,0.0,0.0,11.556,0.0,0.0,2.023,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,11.556
131,AIA,Anguilla,2011,14000,0.0,0.14300000000000002,-4.878,-0.006999999999999999,0.0,0.0,0.0,10.207,0.0,0.0,2.165,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,10.207
